Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
0;20.02.2013 06:59;37,9095;29,3203;22,78;Ml;4,1
12652;30.11.2012 02:32;37,2087;28,6405;20,27;Ml;4,2
12629;30.10.2012 00:12;39,1385;29,1787;21,35;Ml;4,1
12588;5.09.2012 15:49;38,974;27,6217;20,71;Ml;4,1
12583;25.08.2012 07:24;38,7117;28,033;17,4;Ml;4,1
12552;7.08.2012 23:57;38,7242;28,0463;22,21;Ml;4,2
12551;7.08.2012 23:17;38,7327;28,053;18,05;Ml;4
12547;4.08.2012 02:23;38,7178;28,069;22,94;Ml;4,2
12546;3.08.2012 10:18;38,7202;28,065;22,61;Ml;4,6
12533;18.07.2012 17:46;37,1728;28,2912;25,4;Ml;4
12525;4.07.2012 08:45;39,9467;27,891;24,28;Ml;4,2
12512;19.06.2012 01:46;39,1168;29,1593;25,91;Ml;4,9
12504;13.06.2012 06:40;39,107;29,1483;21,58;Ml;4,3
12492;9.06.2012 14:33;37,0387;28,4823;20,92;Ml;4,2
12489;4.06.2012 14:19;36,9163;28,202;12,11;Ml;4,6
12478;19.05.2012 12:21;36,9345;27,5747;18,38;Ml;4,2
12475;18.05.2012 01:47;39,4612;27,9018;7,01;Ml;4
12468;9.05.2012 17:49;39,1032;29,1572;8,98;Ml;4,3
12465;8.05.2012 07:31;37,0355;28,5287;23,36;Ml;4,3
12458;4.05.2012 02:00;39,1195;29,1023;23,94;Ml;4,5
12457;3.05.2012 21:45;39,1352;29,1057;14,22;Ml;4,7
12456;3.05.2012 17:10;39,136;29,0968;23,7;Ml;4,4
12455;3.05.2012 16:16;39,1018;29,039;25,41;Ml;4,6
12454;3.05.2012 15:25;39,1205;29,1262;6,99;Ml;4
12453;3.05.2012 15:20;39,1245;29,11;10,59;Mw;5,2
12450;3.05.2012 01:57;38,655;26,6305;26,18;Ml;4,1
12449;2.05.2012 06:48;38,6653;26,6632;22,18;Ml;4,3
12448;2.05.2012 06:40;38,6687;26,6345;27,18;Ml;4,4
12446;2.05.2012 00:02;38,663;26,6412;26,01;Ml;4,3
12445;1.05.2012 14:48;38,646;26,6262;26,27;Mw;4,8
12443;26.04.2012 22:05;39,1312;29,1128;25,54;Mw;4,8
12437;23.04.2012 16:14;39,0545;29,149;6,96;Ml;4
12436;23.04.2012 16:14;39,124;29,1438;6,31;Ml;4,3
12429;20.04.2012 16:39;39,1525;29,0975;20,59;Ml;4,4
12417;19.04.2012 19:52;39,111;29,1382;7,49;Ml;4,5
12412;17.04.2012 20:45;39,1468;29,1142;6,99;Ml;4,5
12411;16.04.2012 10:11;39,1097;29,136;7;Ml;4,6
12410;16.04.2012 10:10;39,1227;29,1222;6,9;Ml;4,7
12401;4.04.2012 00:33;37,921;29,4537;23,39;Ml;4,3
12399;29.03.2012 10:13;38,6035;30,004;12,77;Ml;4,2
